Season,NAT,Club_Name,TSR,STR,PDO,Pass_Success,Possesion,Team_Value,AGE,FPPsq,Country Score,Rating,Pts
0,910,ENG,Manchester United,0.628058,0.611384,1052.258,0.800789,0.581842,11,25,0.666667,79.499,7.19,125.371
1,910,ENG,Chelsea,0.680405,0.720911,1035.715,0.737797,0.615692,15.85,26.8,0.714286,79.499,7.3,118.371
2,910,ENG,Arsenal,0.62966,0.620096,1018.346,0.809211,0.597632,6.24,21.7,0.688889,79.499,7.17,115.371
3,910,ENG,Tottenham,0.561334,0.567709,1026.935,0.759474,0.522105,6.08,23.3,0.487805,79.499,7.19,56.371
4,910,ENG,Liverpool,0.606972,0.546114,1005.435,0.777368,0.585789,11.22,24.4,0.8,79.499,7.04,115.371
5,910,ENG,Manchester City,0.501111,0.56003,1049.466,0.762105,0.641842,7.87,24.1,0.6,79.499,7.06,33.371
6,910,ENG,Everton,0.532176,0.539966,1016.429,0.748684,0.514737,5.28,23.1,0.547619,79.499,7,44.371
7,910,ENG,Blackburn,0.494795,0.503624,984.5211,0.631053,0.443947,2.58,25.3,0.828571,79.499,6.8,29.371
8,910,ENG,Fulham,0.463708,0.43077,993.8975,0.735526,0.499211,2.21,25.3,0.642857,79.499,6.86,39.371
9,910,ENG,Bolton,0.47869,0.441962,975.6079,0.631316,0.431316,2.67,25.3,0.5625,79.499,6.85,36.371
10,910,ENG,West Ham,0.48011,0.494531,961.2476,0.748421,0.487368,3.38,23.8,0.542857,79.499,6.88,16.371
11,910,ENG,Portsmouth,0.478691,0.447468,943.6597,0.738684,0.479737,2.22,25.4,0.644444,79.499,6.72,22.371
12,910,ENG,Aston Villa,0.454045,0.50848,1042.682,0.713421,0.473947,5.17,25.5,0.419355,79.499,7.06,25.871
13,1011,ENG,Manchester United,0.580609,0.628277,1036.404,0.807368,0.563947,8.93,24.1,0.651163,81.856,7.03,151.157
14,1011,ENG,Chelsea,0.62924,0.627945,1009.592,0.734686,0.607317,13.52,24.5,0.666667,81.856,7.05,129.157
15,1011,ENG,Arsenal,0.622589,0.627788,1003.297,0.835263,0.603421,8.95,23.4,0.794118,81.856,7.02,108.157
16,1011,ENG,Tottenham,0.535163,0.515635,1003.844,0.793947,0.539211,7.79,24.7,0.552632,81.856,6.98,78.157
